n,1,2,3,4,5,6,7,8,9,10
0.7,0.007256118639348414,0.022622809914149274,0.04976800216785341,0.08759427066510828,0.13689464237910637,0.20161648404922974,0.2794414631316097,0.38021054766255546,0.4988882670063249,0.6549944712341457
0.75,0.0077608682342535495,0.024585921648579187,0.054409163497396794,0.0962093140834647,0.1507792531065016,0.22245674727284692,0.30938580504968405,0.4215669891528521,0.5557051104008414,0.7312743967055265
0.8,0.008263726050225526,0.026581836992590754,0.05921481974941562,0.10517701602112026,0.1653387739245571,0.24436265685943728,0.34105870796750853,0.4655324036294515,0.6165923406054453,0.8140972342431951
0.85,0.008764677698665473,0.028606512373655787,0.0641771561561931,0.1144918272824756,0.1805715805153197,0.26735685081200206,0.37450354647577705,0.512251298116308,0.6818725199360104,0.9047840384516801
0.9,0.009263709193514139,0.030656237475722062,0.06928714320064487,0.12414589322752016,0.1964724985367196,0.2914593876824226,0.40976582061740013,0.5618788972929554,0.7520657243394587,1.0066249695337872
0.95,0.009760806951298674,0.032727651350121185,0.07453498126190172,0.13412935319012675,0.21303328066924024,0.3166874229508485,0.4468942435056627,0.614583570745743,0.8287458915806704,1.1349634435147635
1.05,0.010749148929215439,0.0369237901944109,0.08540317948683641,0.15503669923088073,0.24808803986290917,0.37057077609311695,0.5269590293100401,0.7299738271460537,0.9821097395286134,1.228720056258368
1.1,0.011240367990984695,0.03904341295271397,0.09100284388048957,0.1659333414831914,0.26655274446242394,0.39924055802251596,0.5700031915474597,0.7930734556053892,1.07484864709379,1.3758594310831194
1.15,0.01172960299472402,0.041174463147192246,0.09669931370750999,0.17710536696929666,0.2856190232198186,0.42906337541459133,0.6151243810293727,0.86007473470849,1.1717482809082898,1.5085701876914872
1.2,0.012216842359627942,0.04331503556072461,0.10248275606393477,0.18853682422785484,0.30526666306610817,0.46003246961182137,0.6623679792155733,0.931211927206992,1.2742929299006425,1.641524227388152
1.25,0.012702074902354494,0.04546343212336883,0.10834370597188424,0.2002111881519075,0.3254733300524399,0.4921344332588537,0.7117701926681658,1.0067186144538387,1.3828725445484402,1.7771218519429977
1.0,0.01025595778974975,0.034817734920030007,0.07991045064255128,0.14443062969664103,0.23024295052948912,0.3430546762251276,0.4859406812976247,0.6705487500544257,0.9020777724600898,1.1694781197609354
