n,1,2,3,4,5,6,7,8,9,10
0.7,0.0023972295142320166,0.008543137245703505,0.018656717396913432,0.033012134134022236,0.05200137038548118,0.07618205118647685,0.10634668140507346,0.1436339269495389,0.1897194025159405,0.24716402247023075
0.75,0.002573795238694468,0.009260407740716367,0.02033203436998885,0.03610214005595741,0.05702278023870121,0.08374013363751782,0.1171778413819181,0.1586713033373409,0.21019935329776845,0.2748099865107043
0.8,0.00275107390915635,0.01000223549222248,0.02208199858623801,0.039344355603972606,0.06230966667816258,0.09172633517147706,0.12867182537258365,0.1747163754307451,0.23220838608944494,0.304805060908962
0.85,0.0029290656431985333,0.010769802126992918,0.023909718486122625,0.042743783801506494,0.06787037073017808,0.10015590841634968,0.14085837659009465,0.1918288649638477,0.25586821689648265,0.3374027112679655
0.9,0.003107770513515274,0.011563860066333741,0.025817471138449552,0.04630405763332888,0.07371145506991329,0.10904229196582815,0.15376641994076212,0.2100714373559756,0.2813148222699934,0.3729080552116605
0.95,0.0032871885474594427,0.012384749046908965,0.02780682444927296,0.05002772393230967,0.0798382345458798,0.11839800346734355,0.16742562366638405,0.22951283966085798,0.30870616647228016,0.41174064694073476
1.05,0.003648163984301849,0.014106540913558981,0.0320338545891446,0.057971504850560164,0.0929665950233437,0.13856738031232235,0.19712830728204864,0.27231688201905546,0.3701215859426287,0.5000894011284901
1.1,0.003829721211754441,0.015006430626218648,0.034272288659207395,0.06219339125063308,0.099976318123877,0.1494077719357573,0.21324697873755027,0.29587704687890426,0.404667353359843,0.5515891587970019
1.15,0.004011991248837383,0.015931228824720974,0.036594046692236856,0.06658249064210303,0.10728854196409751,0.1607718555150965,0.23026944368152552,0.3210387601385428,0.4422455548663765,0.6085690174279618
1.2,0.00419497388914563,0.01687988632586019,0.038998938227074335,0.07113886652431607,0.11490768196445401,0.17267659960825324,0.248248054365899,0.34795426182346473,0.4834375774835457,0.6719864176202242
1.25,0.004378668878168997,0.01785122154216582,0.04148666247979726,0.07586235140863122,0.12283855584349941,0.18514087752037248,0.26724296430541095,0.37680667687732416,0.529615669925059,0.7428963104482207
1.0,0.0034673197258403843,0.013232431796188595,0.029878770571292217,0.05391650316497357,0.08625523946350283,0.12823541254570794,0.18186782370769136,0.2502311039475585,0.33823114393246323,0.4538110641028576
